病原名称,拉丁名称,生物分类编号,同义词,病原体类型,病原体分类,世系信息,病原危害程度分类,生物安全等级,形态结构,图片,宿主分布,传播方式,易感性因素,人际传播力,致病力,相关疾病,人畜共患病,疾病等级,病死率,感染组织,疾病潜伏期,临床表型,流行季节,流行地域,历史爆发情况,参考基因组,参考基因组链接,GC含量（%）,基因组大小,分型,人类宿主受体,宿主结合蛋白,毒力因子,检测方法,疫苗有无,疫苗信息描述,药物有无,药物信息描述,抗原,灭活方法,,,,,
非洲猪瘟病毒,African swine fever virus,10497,"ASFV, ASF",病毒,双链DNA病毒,Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Asfuvirales; Asfarviridae; Asfivirus,I,BSL-3,ASFV 是一个大的 （175-215 nm）、[6] 二十面体双链 DNA 病毒，线性基因组为 189 kb，包含 180 多个基因。[7],https://www.ncbi.nlm.nih.gov/Taxonomy/taxi/images/5562,蜱虫与野猪、丛林猪和疣猪,"直接接触：通过与感染猪的直接接触传播。
间接接触：通过食用或接触被污染的猪肉产品传播。软蜱传播：通过软蜱（如 Ornithodoros 属）作为媒介传播。环境传播：通过被污染的环境、设备或人员传播。","猪的品种和年龄：不同品种和年龄的猪对ASFV的易感性可能有所不同。
环境条件：不良的卫生条件和密集的养殖环境增加了病毒传播的风险。
生物安全措施的缺乏：缺乏有效的生物安全措施会增加感染的可能性。
接触感染源：与感染猪、污染的猪肉产品或携带病毒的软蜱接触会增加易感性。
地理位置：在ASFV流行地区，猪群更容易受到感染。",低传染性,中致病性,"经典猪瘟、
病毒性出血热",否,一类动物疫病,100.00%,猪的免疫和血液系统,4~19天,"高烧：猪会出现高烧。
食欲不振：猪逐渐失去食欲。
皮肤变色：四肢、耳朵和腹部可能出现蓝紫色或出血。
行为异常：猪可能抑郁、发抖、呼吸异常。
快速死亡：严重感染可导致快速死亡。",无季节规律,全球性分布，主要分布于撒哈拉以南非洲、东欧和北欧。,"非洲：ASF最早在1921年肯尼亚被描述，最初局限于非洲大陆。该病毒在撒哈拉以南非洲是地方性存在，通过蜱虫与野猪、丛林猪和疣猪之间的感染循环传播。

欧洲：1957年，ASF首次在葡萄牙里斯本被报告，随后在1960年再次爆发。ASF在20世纪80年代传播到西班牙、法国、比利时等欧洲国家。西班牙和葡萄牙通过扑杀政策在1990年代中期成功根除该病。

加勒比地区：ASF曾跨越大西洋，在多米尼加共和国和海地等加勒比海岛屿爆发。

东欧和北欧：2007年，ASF在格鲁吉亚爆发，随后传播到亚美尼亚、阿塞拜疆、伊朗、俄罗斯和白俄罗斯，并在俄罗斯北高加索地区成为地方性流行病。2017年，拉脱维亚宣布非洲猪瘟紧急状态，捷克共和国也记录了其历史上首次ASF病例。

东亚：2018年，ASF传播到亚洲，影响了多个国家超过10%的猪群，导致严重的经济损失。

其他欧洲国家：2018年，ASF在比利时南部的野猪中爆发。2018年，罗马尼亚经历了全国范围的ASF疫情。2019年，保加利亚和斯洛伐克报告了ASF的首次爆发。2020年，希腊北部的一个限制区域也报告了ASF的首次爆发。",ON409979-ON409983,"https://www.ncbi.nlm.nih.gov/nuccore/ON409979 
https://www.ncbi.nlm.nih.gov/nuccore/ON409980
https://www.ncbi.nlm.nih.gov/nuccore/ON409981
https://www.ncbi.nlm.nih.gov/nuccore/ON409982
https://www.ncbi.nlm.nih.gov/nuccore/ON409983",平均 38.53,"171,004 - 184,521",根据编码主要衣壳蛋白 p72 的 B646L 基因 C 端区域的序列变异，非洲猪瘟病毒（ASFV）已被鉴定出22种基因型（I-XXIII）。,ASFV不感染人类,CD2v,"免疫调节蛋白：ASFV编码的蛋白质可以抑制受感染巨噬细胞中的信号通路，从而调节免疫反应基因的转录激活。这有助于病毒逃避宿主的免疫监视。

凋亡抑制蛋白：病毒编码的蛋白质可以抑制受感染细胞的凋亡，延长细胞存活时间，以便产生更多的后代病毒粒子。

与细胞粘附蛋白相似的病毒膜蛋白：这些蛋白质调节病毒感染细胞和细胞外病毒粒子与宿主成分的相互作用，可能有助于病毒的传播和感染效率。

这些毒力因子使ASFV能够有效感染宿主细胞，抑制宿主的免疫反应，并促进病毒的复制和传播。","ELISA（酶联免疫吸附试验）：用于检测ASFV抗体的存在。这种方法可以帮助识别曾经感染过病毒的动物。

实时PCR（聚合酶链反应）：用于检测ASFV的基因组DNA。这是一种高度敏感和特异的检测方法，可以在感染的早期阶段检测到病毒。

病毒分离：从受感染猪的血液、淋巴结、脾脏或血清中分离病毒。这种方法可以提供关于病毒的详细信息，但通常需要更长的时间和更复杂的实验室条件。",有,"越南：越南于2022年6月1日成功生产了首个针对非洲猪瘟的疫苗。这标志着在疫苗开发方面的重要突破。

美国：自2020年1月22日起，美国一直在开发一种针对2007年格鲁吉亚分离株的实验性疫苗。该疫苗通过删除病毒的I177L基因进行减毒处理。截至2023年1月3日，这种实验性疫苗已被许可作为疫苗候选者。",无,无,无,,,,,,
风疹病毒,Rubivirus rubellae,2846071, RuV,病毒,正义RNA病毒,Viruses;??Riboviria;??Orthornavirae;??Kitrinoviricota;Alsuviricetes;??Hepelivirales;??Matonaviridae;??Rubivirus;,3,BSL-2,包膜病毒直径为55-89纳米。遗传物质包裹在核衣壳中，衣壳是由病毒衣壳蛋白亚基所形成的寡聚体。,https://baike.baidu.com/pic/H1N1/2606983/0/48151723d3072965925807db?fr=lemma&fromModule=lemma_content-image,人,"直接接触：接触
间接接触：飞沫气溶胶传播",学龄前儿童和孕妇,高传染性,中致病性,皮疹,否,中国法定丙类传染病,,皮肤,14-17天,临床上以前驱期短、低热、皮疹和耳后、枕部淋巴结肿大为特征。,冬末和春季,全球性分布,,GCA_000863025.1; GCF_024749945.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000863025.1/   ;  https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_024749945.1/,70,9.8 Kb,,,,,外周血象；病毒分离；血清抗体测定,有,风疹疫苗属于减毒活病毒株，使用已超过40年。单剂接种可获得95%以上的长效免疫力，与自然感染诱发的免疫力接近。,无,,RV抗原,,,,,,
弗莱克索尔病毒,Mammarenavirus flexalense,3052305,"Flexal arenavirus,Flexal mammarenavirus,Flexal virus",病毒,单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,Arenaviridae,Mammarenavirus,Mammarenavirus flexalense",1,BSL-4,,,,,no,低传染性,高致病性,,是,未分类,,,,,,,,GCF_000872925.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000872925.1/,41.8 ~ 41.9,"	10.4 Kb",,,,,,无,,,,,,,,,,
肝炎A,Hepatovirus A,12092,肝炎病毒A,病毒,ssRNA,Viruses;?Riboviria;?Orthornavirae;?Pisuviricota;?Pisoniviricetes;?Picornavirales;?Picornaviridae;?Heptrevirinae;?Hepatovirus,,BSL-2,,,人,粪-口途径,,,非洲区域发病率最高（每年每10万人3800例感染），欧洲区域最低 （每年每10万人1200例感染）。东南亚和东地中海区域的甲肝相关死亡率最高（每年每100万人12例死亡），欧洲区域 最低（每年每100万人0.2例死亡）,甲型肝炎,,中国法定乙类传染病,,血液/体液，粪便，腹部引流,14–28天,恶心、呕吐、发热、腹痛、深色尿和黄疸（眼睛和皮肤发黄）,冬春,,"世卫组织估计，2016年，全世界有7134人死于甲型肝炎（占病毒性肝炎死亡率的0.5%）。

甲型肝炎属偶发疾病，在世界各地流行，有循环复发的趋势。与污染食物或水有关的疾病流行会突然暴发，比如1988年在上海发生的甲肝流行就影响到了大约30万人(1)。",GCF_000860505.1?,https://www.ncbi.nlm.nih.gov/nuccore/9626732,33.7 ~ 39.0,7.5 kb,,,,,检测血液中甲型肝炎病毒的特异性免疫球蛋白G（IgM）抗体；逆转录聚合酶链反应（RT-PCR）等方法检测甲型肝炎病毒核糖核酸（RNA）,有,"灭活疫苗和减
毒活疫苗",无,,,暴露在81?C或更高温度下10分钟,[1] 23198670 ,,,,
肝炎B,Hepatovirus B,1987123,,病毒,DNA病毒,Viruses;?Riboviria;?Orthornavirae;?Pisuviricota;?Pisoniviricetes;?Picornavirales;?Picornaviridae;?Heptrevirinae;?Hepatovirus,,,,,人,母婴、血和血液制品、破损的皮肤粘膜及性接触传播,婴幼儿,,,乙型肝炎,,中国法定乙类传染病,,肝脏,30到180天,皮肤和眼睛发黄（黄疸）、尿色深、感到非常疲倦、恶心、呕吐、腹痛,,世界各地,"世卫组织估计，2022年，有2.54亿人有慢性乙肝感染，每年有120万新发感染者。
2022年，乙肝导致约110万人死亡，主要缘于肝硬化和肝细胞癌（原发性肝癌）",GCF_001292955.1,https://www.ncbi.nlm.nih.gov/nuccore/927371711,37,7.5 kb,,,,,DNA检测、抗原抗体检测,有,乙肝疫苗对乙肝的预防作用至少持续20年，也可能持续终身。,有,急性乙肝没有特异治疗方法。慢性乙肝可用药物治疗。可口服包括替诺福韦或恩替卡韦在内的药物治疗慢性乙肝感染,HBsAg、HBcAg,65℃中10小时、煮沸10分钟或高压蒸汽,,,,,
肝炎C,Hepatovirus C,1987124,,病毒,单链RNA病毒,Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Heptrevirinae; Hepatovirus,,,,,脊椎动物,血液传播,,,,丙型肝炎（HCV）,,中国法定乙类传染病,,肝脏,两周到六个月,发烧、疲劳、食欲不振、恶心、呕吐、腹痛、尿色深以及皮肤或眼睛发黄（黄疸）,,所有区域。疾病负担最重的是东地中海区域。,2022年，约有242000人死于丙型肝炎，主要缘于肝硬化和肝细胞癌（原发性肝癌）,GCF_002816915.1,https://www.ncbi.nlm.nih.gov/nuccore/1464306988,38,7.6 kb,,,,,血清学检测、PCR检测,无,,有,抗病毒药物（DAAs）可使95%以上的丙肝感染者得到治愈。抗病毒药物（包括索非布韦和达卡他韦）可用于治疗丙肝。,,,,,,,
肝炎D,Hepatovirus D,1987125,德尔塔病毒，丁肝病毒,病毒,单链RNA病毒,Viruses;  Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Heptrevirinae; Hepatovirus,,,,,,母婴传播、血液传播、性传播,慢性乙肝病毒携带者、土著人民、注射吸毒者和丙型肝炎病毒或艾滋病毒感染者,,,丁型肝炎,,中国法定乙类传染病,,肝脏,3-7周,发热、疲劳、食欲不振、恶心、呕吐、尿色深、粪色变浅、黄疸（眼睛发黄），甚至暴发性肝炎,,蒙古、摩尔多瓦共和国以及西非和中非国家,,GCF_001444005.1,https://www.ncbi.nlm.nih.gov/nuccore/951885122,36,7.7 kb,,,,,抗体检测；PCR检测,有,乙肝疫苗接种能够预防丁肝病毒的感染，但治疗成功率较低。,有,α干扰素可治疗丁肝病毒慢性感染，这种治疗具有明显副作用，不应用于失代偿性肝硬化、活动性精神疾病和自身免疫性疾病患者。布来韦肽（Bulevirtide）是一种有前景的丁型肝炎新疗法,HDAg,,,,,,
肝炎E,Hepatovirus E,1987126,,病毒,RNA 病毒, Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Picornaviridae; Heptrevirinae; Hepatovirus,,,,,,粪口途径传播，主要是通过被污染的水传播,HEV1 和 HEV2:年轻成人（15~39岁），以男性为主;                                                                                                                                                                                                                                                                                                                                                   HEV3                                                                                                                                                                                                                                                                                                                                    HEV3 : 老年人                                                            ,,,戊型肝炎（戊肝）,是,中国法定乙类传染病,在孕妇中死亡率较高（10.4%）,肝脏,2-10 周,低烧、食欲不振、恶心、呕吐、腹痛、瘙痒、皮疹或关节痛、黄疸（皮肤发黄）、尿色深和大便颜色变浅、肝脏轻微肿大，有压痛,,世界各地，但最常发生在东亚和南亚,估计全球每年有2000万人感染戊肝病毒，其中估计有330万人会出现戊肝症状。2015年戊型肝炎大约导致4.4万人死亡（占病毒性肝炎死亡率的3.3%）. 至少已有63个国家曾出现戊型肝炎散发病例或暴发，其中约有一半国家报告过大规模暴发1。,GCF_002816965.1,https://www.ncbi.nlm.nih.gov/nuccore/1464306990,40,7.4 kb,HEV1、HEV2、 HEV3 和 HEV4,,,,抗体检测，RT-PCR,有,至少已有 11 种实验性 HEV 疫苗在非人类的灵长类动物中开展过抗病毒攻击评估。然而，其中只有 2 个疫苗进展至人临床试验，其中 1 个（益可宁?，Hecolin?）完成研制并由中国厦门万泰沧海生物技术股份有限公司研制。该疫苗已于 2011 年 12 月在中国获准上市，供 16 岁以上者接种。该疫苗尚未在其他国家或地区获得上市许可。在至少接种过 1剂次 HEV 疫苗的受试者中，总效力为 77.0%。,无,,,,"[1] Aggarwal R. The global prevalence of hepatitis E virus infection and susceptibility: a systematic
review. Geneva: World Health Organization; 2010 (http://whqlibdoc.who.int/hq/2010/WHO_IVB_10.14_eng.pdf)",,,,
戈尔迪勒病毒,Gordil virus,1460451,戈尔迪病毒,病毒,有包膜的单股负链RNA病毒,白蛉纤细病毒科,第二类,BSL-3,有包膜，通常呈球形，也可能有一定程度的多形性，直径一般在 80-120 纳米左右。,,昆虫或小型哺乳动物（条纹草鼠）,虫媒传播：蚊子、蜱虫；接触传播：直接接触感染动物、间接接触传染物品；呼吸道传播：特定条件下气溶胶形式,"一、宿主因素
1. 物种差异：一些与该病毒天然宿主关系较近的物种可能更容易感染，而其他物种可能具有一定的抵抗力。
2. 年龄：年幼和年老的动物可能对 Gordil virus 更易感。
3. 健康状况：患有其他疾病或免疫系统受损的动物更容易感染。
二、环境因素
1. 接触病毒的机会：与感染 Gordil virus 的动物或其排泄物、分泌物等有密切接触的动物或人类更容易感染病毒。
2. 环境条件：温暖潮湿的气候可能有利于病毒在环境中的存活和传播，而寒冷干燥的环境可能对病毒的生存产生一定的抑制作用。

",,,"1. 发热性疾病：如高热、寒战、乏力等。
2. 出血症状：可能有皮肤瘀点、瘀斑、鼻出血、牙龈出血、胃肠道出血等。
3. 器官功能障碍：可能影响肝脏、肾脏等重要器官，导致肝功能异常、肾衰竭等。
4. 神经系统症状：如头痛、头晕、意识障碍、抽搐等。",是,第二类危害程度的病毒,,可能包括呼吸道组织、消化道组织、肝脏、肾脏、血液系统、神经系统等,,发热（体温可达 40 - 42℃）、心跳加快、呼吸困难、部分患者有咳嗽症状，眼、鼻会出现浆液性或粘液性脓性分泌物，皮肤发绀，淋巴结、肾、胃肠粘膜等部位会有明显出血。,,中非地区 ,," NC_055363；
 NC_055364;NC_055365.",https://www.ncbi.nlm.nih.gov/search/all/?term=NC_055363; https://www.ncbi.nlm.nih.gov/search/all/?term=NC_055364；https://www.ncbi.nlm.nih.gov/search/all/?term=NC_055365,40%,~6kb,,,,,一、核酸检测：逆转录聚合酶链式反应(RT-PCR)；实时荧光定量PCR。二、血清学检测：酶联免疫吸附试验(ELISA)；中和实验。三、病毒分离培养,无,,无,,,一、物理方法：高温、紫外线照射；二、化学方法：含氯消毒剂、过氧乙酸、75%酒精,"[1] ""WHO Factsheet – Mpox (Monkeypox)"" World Health Organization (WHO). 18 April 2023. Retrieved 21 May 2023.
[2] CDC (2022-10-18). ""Monkeypox in the U.S."" Centers for Disease Control and Prevention. Archived from the original on 2022-10-26. Retrieved 2022-10-26.
[3] 36423129
[4] 33167496
[5] Acha, P. N., and B. Szyfres. 2005. Zoonoses & communicable diseases common to man & animals, third edition: A review by Peter Kerr. Aust. Mammal. 27:107.
[6] 22496894
[7] 364231400",,,,
格米斯顿病毒,Germiston virus,11574,"Bunyavirus germiston
Germiston bunyavirus",病毒,单链 RNA 病毒,Viruses;?Riboviria;?Orthornavirae;?Negarnaviricota;?Polyploviricotina;?Ellioviricetes;?Bunyavirales;?Peribunyaviridae;?Orthobunyavirus;?Orthobunyavirus bunyamweraense,II,BSL-3,GERV 颗粒大致呈球形，平均直径为 98 nm[2],,人；无脊椎动物；脊椎动物,影响哺乳动物皮肤细胞感染早期步骤的病媒到宿主的转换过程，传入的微粒是由受感染的节肢动物引入的[1],,,中度,伴有皮疹的发热性疾病,,,,,,高热、头痛、腰骶痛、无力、精神 意识模糊、皮疹,,"博茨瓦纳奥卡万戈盆地和纳米比亚卡普里维地区； 南非（1）、津巴布韦（14）、乌干达（12）、莫桑比克（14,15）、肯尼亚（16）
南非（1）、津巴布韦（14）、乌干达（12）、莫桑比克（14,15）、肯尼亚（16) [3]",,ASM973165v1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009731655.1/,37.8 ~ 38.0,5.5kb,,,,,冷冻电子显微镜 （cryo-EM）[2],无,无,KCl 或 K+离子拮抗剂缬氨霉素破坏细胞 K+梯度[4],,,,"[1]  Léger, P., & Lozach, P. Y. (2015). Bunyaviruses: From Transmission by Arthropods to Virus Entry into the Mammalian Host First-Target Cells. Future Virology, 10(7), 859–881. https://doi.org/10.2217/fvl.15.52
[2]  PMC8906410
[3] R.H. Kokernot, E.L. Szlamp, J. Levitt, B.M. McIntosh, Survey for antibodies against arthropod-borne viruses in the sera of indigenous residents of the caprivi strip and bechuanaland protectorate, Transactions of The Royal Society of Tropical Medicine and Hygiene, Volume 59, Issue 5, September 1965, Pages 553–562, https://doi.org/10.1016/0035-9203(65)90158-6
[4]Hover, S., Charlton, F.W., Hellert, J. et al. Organisation of the orthobunyavirus tripodal spike and the structural changes induced by low pH and K+ during entry. Nat Commun 14, 5885 (2023). https://doi.org/10.1038/s41467-023-41205-w
",,,,
哈特兰病毒,Bandavirus heartlandense,3051992,"HRTV, Heartland bandavirus, Heartland banyangvirus",病毒,单链RNA病毒,"
K_ Viruses | P_ Negarnaviricota | C_ Ellioviricetes | O_ Bunyavirales | F_ Phenuiviridae | G_ Bandavirus | S_ Bandavirus heartlandense",第二类,BSL-3,,,节肢动物，人类, 孤星蜱在吸血时会将病毒传播给人。,所有已知的人类病例均来自美国五个州：阿肯色州、印第安纳州、密苏里州、俄克拉荷马州和田纳西州。大多数感染者在蜱虫流行的地区户外活动。大多数感染是在 5 月至 9 月之间诊断出来的。人们通常会报告在寻求医疗服务前两周内被蜱虫叮咬过,低传染性,低致病性,,否,危害程度分类第二类,0.00%,,,体征和症状包括发烧超过 100.4 °F (38 °C)、嗜睡（虚弱）、头痛、肌肉疼痛（肌痛）、食欲不振、恶心、腹泻、体重减轻、关节痛（关节痛）、白细胞计数低（白细胞减少症）和因血小板计数低（血小板减少症）而容易瘀伤。也可能出现肝转氨酶升高。[9],无季节规律,"USA(9),Unknown(3)",2009 年 6 月，该病毒首次被证实可以感染人类，当时两位相距 60 英里（97 公里）的农民出现发烧、疲劳、腹泻、血小板减少和白细胞减少等症状。[5] ,"	
GCF_013086545.1;GCF_000922255.1
",https://www.ncbi.nlm.nih.gov/datasets/genome/?taxon=3051992,"
43.7 ~ 46.5","	11.5 kb",,,,,,无,,无,,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=3051992;https://nmdc.cn/gcpathogen/species?taxonid=3051992;https://en.wikipedia.org/wiki/Heartland_bandavirus;https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwjw.fujian.gov.cn%2Fjggk%2Fcsxx%2Fkjjyc%2Fswaq_202112%2F202406%2FP020240624639399447309.docx&wdOrigin=BROWSELINK;https://www.nejm.org/doi/full/10.1056/NEJMoa1203378,,,,
汉扎罗瓦病毒,Orthoflavivirus encephalitidis/Tick-borne encephalitis virus,3052465,"Tick-borne encephalitis virus, TBEV [1]",病毒[2],单链RNA病毒[2],Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthoflavivirus,I,BSL-4,TBEV 的二十面体表面与其他正黄病毒相似，由 E 蛋白组成，该蛋白与附着的表面聚糖和下面的 M 蛋白相关。E 和 M 蛋白嵌入病毒膜并扭曲其形状，以异四聚体形式存在，E 蛋白以头对尾的方向二聚化。E 蛋白由四个结构域组成，其中结构域 II 是内体融合的关键，结构域 III 是中和抗体的关键靶点，而 M 蛋白由 N 端环和周膜和跨膜螺旋组成，可稳定 E 蛋白并防止构象变化。表面之下是 C 蛋白，它与 ssRNA 基因组连续存在以形成核衣壳。 ssRNA 基因组两侧是 3′ 和 5′ 非翻译区（UTR），它们是 TBEV 基因组复制、翻译和 TBEV RNA 在神经元中迁移的重要调控因子。[2],https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10650904/,蜱虫以及小型啮齿动物[3],"媒介生物：蜱虫
血液或血制品 间接接触：食物传播[3]",在森林或森林附近户外活动的人被感染蜱传脑炎病毒的蜱虫叮咬的风险最高。[3],低传染性病原微生物,中致病性病原微生物,脑炎、脑膜炎,是,未分类,2%[4],中枢神经系统[4],在被感染蜱叮咬后出现临床症状的患者中，潜伏期通常为 7-14 天。对于通过食物途径感染的 TBE，潜伏期通常较短，通常少于 2 周，通常为2-4天[4],最常见的临床表现是中枢神经系统感染（即无菌性脑膜炎、脑膜脑炎或脑膜脑脊髓炎)[4],TBE 病毒的主要传播季节是 4 月至 11 月，此时北半球天气较温暖，蜱虫最为活跃。传播高峰通常发生在温暖潮湿的夏季的数周内，欧洲国家通常是 6 月至8 月。然而，在中欧和北欧，夏季和初秋可能出现两个高峰。与蚊媒疾病不同，蜱媒疾病不会大规模暴发。冬季偶尔也会报告病例，因为在接近冰点的温度下蜱虫仍有可能活动。[4],TBE 病毒在从西欧和北欧一直延伸到北亚和东亚的地理区域内局部流行[4],蜱传脑炎最初在20世纪30年代初在俄罗斯被发现，是一种局部疾病，1950年罗日尼亚瓦发生大规模的食源传播疫情，如今已演变为整个欧洲的重大问题。[5],NC_001672.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_001672.1,0.53,~10Kb,欧洲亚型、西伯利亚亚型和远东亚型[4],,包膜蛋白[2],,血清学检查，核酸检测:核酸扩增试验 (NAAT)[3],有[3],名称：TICOVAC[3],无[3],无[3],,,"[1]3859313
[2]37959323
[3]About Tick-borne Encephalitis[EB/OL]. [2024-09-22]. https://www.cdc.gov/tick-borne-encephalitis/about/index.html.
[4]Tick-Borne Encephalitis Vaccine: Recommendations of the Advisory Committee on Immunization Practices, United States, 2023[EB/OL]. (2023-11-09)[2024-09-22]. https://www.cdc.gov/mmwr/volumes/72/rr/rr7205a1.htm.
[5]38290295",,,,
