病原名称,拉丁名称,生物分类编号,同义词,病原体类型,病原体分类,世系信息,病原危害程度分类,生物安全等级,形态结构,图片,宿主分布,传播方式,易感性因素,人际传播力,致病力,相关疾病,人畜共患病,疾病等级,病死率,感染组织,疾病潜伏期,临床表型,流行季节,流行地域,历史爆发情况,参考基因组,参考基因组链接,GC含量（%）,基因组大小,分型,人类宿主受体,宿主结合蛋白,毒力因子,检测方法,疫苗有无,疫苗信息描述,药物有无,药物信息描述,抗原,灭活方法,,,,,
委内瑞拉马脑炎病毒,Venezuelan equine encephalitis virus,11036,"Venezuelan equine encephalomyelitis, VEEV, VEE, Venezuelan equine fever, arbovirus",病毒,正义单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Venezuelan",1,BSL-3,,,马和人类是最常见的宿主;然而，其他各种动物已被证明容易受到感染；这些包括猫、狗、牛、山羊、猪、啮齿动物和鸟类等哺乳动物,?VEE 病毒最常通过受感染的蚊子叮咬传播，但它也通过气溶胶具有很强的传染性； VEE 病毒最常通过受感染的蚊子叮咬传播，但它也通过气溶胶具有很强的传染性,no,低传染性,低致病性,脑炎，脑、肺和胃肠道出血，,是,,0.01,4-14%中枢神经系统,几天到7年以上，75%患者在接触后90内发病,在人类中，这种病毒通常会引起轻度至重度流感样症状，但 4-14% 的病例会出现神经系统并发症2.儿童和年轻人更容易因感染而患上脑炎;然而，人类死亡病例很少见，约占所有报告病例的 1%，在接触病毒后 2 至 5 天，头痛、肌痛、疲劳、呕吐、恶心、腹泻、咽炎和发烧等流感样症状会突然出现3.VEE 病毒还可引起眶后和枕部头痛以及白细胞减少症和心动过速3.脑炎的症状仅在少数病例中出现，发生在暴露后 4-10 天，包括嗜睡、抽搐、意识模糊、畏光和昏迷。致命的人类病例通常是由脑炎以及脑、肺和胃肠道出血引起的.这种病毒可造成长期的神经损伤，并可感染孕妇的胎儿，导致出生缺陷和死产4.通常，症状持续 3 至 8 天，并且可能是双相的，在初始症状后 4 至 8 天复发,无季节规律,除澳大利亚、英国、新西兰、日本等岛屿国家外其他国家和地区都有,"VEE 病毒的流行性动物病和地方性动物病菌株范围从阿根廷北部到佛罗里达州和落基山脉的部分地区;然而，它在南美洲北部最为普遍.该病毒于 1935 年在哥伦比亚、委内瑞拉和特立尼达爆发后首次在马身上观察到，并于 1938 年被分离出来.在 1960 年代，哥伦比亚报告了超过 200,000 例人类病例和 100,000 匹马死亡，委内瑞拉和墨西哥发生了较小的流行病.1995 年，委内瑞拉和哥伦比亚报告了 75,000 至 100,000 例感染.由于蚊子数量的增加，疫情通常发生在暴雨季节之后.为马接种 TC-83 疫苗和防止蚊子（防护服、杀虫剂）是减少 VEE 爆发的一些拟议方法",GCF_000862105.1??GCF_002889695.1?,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002889695.1?/https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000862105.1?/,24.7 ~ 50.8,174  Kb,,,,no,"通过从具有 CNS 并发症的感染个体的 CSF 中分离病毒来确认感染，并通过血清中和 （SN）、补体结合 （CF） 和血凝抑制 （HI） 检测等血清学检测确定抗体滴度5,15,16.许多实验室技术可用于确认虫媒病毒感染，包括 PCR、ELISA 和血清学，以及组织切片的免疫组织化学 （IHC） 染色",有,研究性 TC-83 减毒活疫苗；福尔马林灭活疫苗 （C-84）仅供研究人员使用,无,,,与其他包膜病毒一样，VEE 病毒对 1% 次氯酸钠、4% 甲醛、2% 戊二醛、70% 乙醇、3-6% 过氧化氢和 2% 过氧乙酸等消毒剂敏感；使用湿热或干热可以灭活微生物；Toga 病毒可通过在 65°C 下加热 15 分钟来灭活,,,,,
西方马脑炎病毒,Western equine encephalitis virus,11039,"Rabies lyssavirus,Rabies virus",病毒,正义单链RNA病毒,"Viruses,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Western",1,BSL-3,EEEV 和 WEEV 属于?Togaviradae?科的甲病毒属.它们的直径为 65-70 nm，小的球形和包膜病毒，具有二十面体对称性和三角剖分数,,人类、爬行动物、蝙蝠、野鸡、野鸟、蚊子、马、狗和啮齿动物,主要的 EEEV 和 WEEV 传播周期发生在鸟类和蚊子之间（EEEV 的黑毛库蚊和 WEEV 的睑库蚊），这两种病毒都是通过节肢动物（如伊蚊、Coquillettidia 和库蚊属）叮咬自然传播给人类的，这些节肢动物以鸟类和人类为食,no,低传染性,高致病性,虫媒病毒脑炎,是,,东部马脑炎(EEE)是最严重的虫媒病毒性脑炎，死亡率为50%至75%，西部马脑炎病毒的死亡率为3- 7%,中枢神经系统,EEEV 的潜伏期超过 1 周（范围为 4-10 天），WEEV 的潜伏期为 2-7 天,东方马脑炎 （EEE） 是虫媒病毒脑炎中最严重的，死亡率为 50% 至 75%.该病的症状包括发烧、头痛、呕吐、呼吸道症状、白细胞增多、头晕、意识水平下降、震颤、癫痫发作和局灶性神经系统体征.感染后 3 至 5 天内可死亡，那些幸存下来的人患有神经系统后遗症，包括抽搐、瘫痪和智力低下.脑水肿、缺血和灌注不足存在于疾病的早期阶段.WEEV 在人类中引起无症状或轻度感染，具有非特异性症状，例如突然发热、头痛、恶心、呕吐、厌食和不适.一些患者还可能出现精神状态改变和虚弱，伴有脑膜刺激的体征.在极少数情况下，WEEV 感染可引起脑炎或脑脊髓炎，导致颈部僵硬、意识模糊、视觉障碍、畏光、强直阵挛发作、嗜睡、昏迷和死亡.15% 到 50% 的脑炎幸存者，尤其是幼儿，患有永久性神经损伤（智力低下、情绪不稳定和痉挛性麻痹）.西方马脑炎病毒的死亡率为 3-7 %,在加拿大，EEEV 引起的感染主要发生在春季；在美国，每年夏天都会发生小规模爆发；,EEEV 广泛分布于北美、中美洲和南美洲;加勒比地区;加拿大东部沿海地区;波兰;前苏联;泰国;菲律宾;和前捷克斯洛伐克,EEEV 广泛分布于北美、中美洲和南美洲;加勒比地区;加拿大东部沿海地区;波兰;前苏联;泰国;菲律宾;和前捷克斯洛伐克.在美国，由 EEEV 引起的人类感染通常是零星的，每年夏天都会发生小规模爆发，主要发生在大西洋和墨西哥湾沿岸.此外，疾病控制和预防中心报告称，1964 年至 2004 年间，美国发生了 220 例确诊的人类 EEE 病例.在加拿大，EEEV 引起的感染主要发生在春季，与鸟类从美国南部迁徙到加拿大北部有关.WEEV 病毒广泛分布在北美洲和南美洲，但在中美洲不存在.美国疾病控制和预防中心报告称，1964 年至 2004 年间，美国发生了 639 例确诊的人类 WEE 病,GCA_000862705.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000862705.1/,24.0 ~ 50.2,11.6  Kb,,,,no,EEEV 和 WEEV 感染均可使用血清学检测（如 ELISA）来检测血清和 CSF 中的 IgM 抗体，逆转录聚合酶链反应 （RT-PCR） 和实时 RT-PCR 等分子生物学方法也可用于检测临床标本中的 WEEV/EEEV 特异性 RNA,无,无,无,无,,EEEV 可通过暴露于浓度为 50% 的乙醇 60 分钟来灭活8.大多数包膜病毒也对 1% 次氯酸钠、2% 戊二醛、季铵化合物和酚类物质敏感，物理灭活：使用湿热和干热可以灭活微生物11.EEEV 可被紫外线灭活,,,,,
希普尔病毒,"Hypr virus,Tick-borne encephalitis virus",11084,"HYPRV,Tick-borne encephalitis virus,TBEV",病毒,阳性链RNA病毒,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthoflavivirus; Orthoflavivirus encephalitidis,I,BSL-3,TBEV被包含在一个40-60纳米的球形有包膜衣壳中。[1] TBEV的基因组大约为11kb，包含一个5'帽子、一个单一开放阅读框（ORF），并且有3'和5'非翻译区（UTR），但没有聚腺苷酸化。[1],https://en.wikipedia.org/wiki/File:Tick-Borne_Encephalitis_Virus.png,"节肢动物,人类,鸟类,哺乳动物,灵长类动物,鼠类","                        2. 间接接触：如飞沫传播、空气传播、食物和水源传播等。
                        3. 媒介生物：如蚊子、苍蝇、跳蚤等。",感染的风险随着年龄的增长而增加；同时在40岁以上的人群中，男性比女性感染的风险更大。,中传染性,中致病性,脑膜炎、脑炎、脊髓炎或神经根炎,是,NA,该病总体死亡率为1％至2％，但在出现神经系统症状的显性感染患者中，该病病死率可高达30%，死亡通常发生在神经系统症状出现后的5至7天[2]。,大脑,4–28天,大多数患者表现为隐性感染，少数患者为显性感染。72–87％显性感染患者的临床表现为双相型，首发表现为轻度发烧、全身乏力、头痛、恶心、呕吐和肌痛等非特异性症状。显性感染的首发表现通常在1周内自行消退，并在第2周出现神经系统症状等继发表现。该病可导致长期的神经系统症状，包括脑炎、脑膜炎或脑膜脑炎[3]。,春季， 夏季,普遍高发于欧洲地区、西伯利亚地区、中国北部和日本等,"TBEV 病毒的识别发生在 1930 年代的苏联[4];
中国 TBE 的年发病率在 2007 年至 2018 年间从每 10 万人 0.09 上升到 0.44[5]。",GCF_000863125.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000863125.1/,54,"	11.1 kb",该病毒可分为三个亚型：欧洲亚型（由篦子硬蜱传播），西伯利亚亚型（由全沟硬蜱传播），以及远东亚型（原名俄罗斯春夏脑炎病毒，由肩突硬蜱传播）[6]。,,Glycoprotein E,,"
抗原检测：酶联免疫吸附试验(ELISA)",有,疫苗名称： 森林脑炎疫苗。本品系用森林脑炎病毒接种地鼠肾细胞培育后再以甲醛溶液灭活制成的死疫苗。接种后1.5～2个月抗体水平达高峰，免疫力可维持1年左右,无,无,糖蛋白 E 是 TBEV 的主要抗原，负责受体结合和膜融合,巴氏灭菌法,"[1] Mansfield KL, Johnson N, Phipps LP, Stephenson JR, Fooks AR, Solomon T (August 2009).?""Tick-borne encephalitis virus - a review of an emerging zoonosis"".?The Journal of General Virology.?90?(Pt 8): 1781–1794.?doi:10.1099/vir.0.011437-0.?PMID?19420159 
[2]Kaiser R. Tick-borne encephalitis. Infect. Dis. Clin. North Am. September 2008, 22 (3): 561–75, x. PMID 18755391. doi:10.1016/j.idc.2008.03.013.
[3]Riccardi N. Tick-borne encephalitis in Europe: a brief update on epidemiology, diagnosis, prevention, and treatment.. Eur J Intern Med. 22 January 2019, 62: 1–6. PMID 30678880. doi:10.1016/j.ejim.2019.01.004.
[4] Blom K, Cuapio A, Sandberg JT, Varnaite R, Micha?lsson J, Bj?rkstr?m NK, et al. (2018). ""l-Mediated Immune Responses and Immunopathogenesis of Human Tick-Borne Encephalitis Virus-Infection"". Frontiers in Immunology. 9: 2174. doi:10.3389/fimmu.2018.02174. PMC 6168641. PMID 30319632.
[5] Tick-Borne Encephalitis—Review of the Current Status. J Clin Med. 2023 Oct; 12(20): 6603. PMID: 37892741. doi: 10.3390/jcm12206603
[6]Goodman JL, Dennis DT, Sonenshine DE (2005). ""ick-Borne Encephalitis"". Tick-Borne Diseases of Humans. Washington, DC: ASM Press. p. 151. ISBN 978-1-55581-238-6...go",,,,
辛德比斯病毒,Sindbis virus,11034,,病毒,单链RNA病毒,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Togaviridae; Alphavirus,第二类,BSL-2,,,节肢动物/人类/啮齿动物,蚊虫传播,,,,辛德毕斯病,是,,,血液/体液,,早期皮肤损害，出现红斑，肌痛，随后直接损害患者中枢神经系统，引起脑膜炎、脑炎、脑膜脑炎等严重症状,夏季,,1952年首先在埃及尼罗河三角洲地区捕获的单条库蚊中分离到病毒，1961年在非洲乌干达发现首批临床病例，5名患者出现头疼、肌痛及全身不适症状，从患者血液分离出辛德毕斯病毒。随后在南非儿童中也发现该病，表现为发烧、皮肤病变和关节疼痛。随着调查范围扩大，研究者发现该病在全球分布十分广泛，非洲、欧洲、亚洲和澳洲都相继从蚊类、鸟类分离出病毒，东半球绝大多数国家存在该病。,GCF_000860545.1?,https://www.ncbi.nlm.nih.gov/nuccore/9790313,48.3 ~ 52.0,"	11.7 kb",,,,,1.血清学方法，主要有：补体结合实验、中和法、免疫荧光法、酶标法等；                                                      2.多聚酶链式反应（PCR）等。,无,,无,,,56°C30分钟完全灭活,[1]29781426 ,,,,
伊尼尼病毒（辛布正布尼亚病毒）,Inini virus (Simbu orthobunyavirus),3052441,"Orthobunyavirus simbuense,Simbu bunyavirus group,
Simbu serogroup,
Simbu virus,
Simbu virus Group",病毒,单链RNA病毒,"
K_ Viruses | P_ Negarnaviricota | C_ Ellioviricetes | O_ Bunyavirales | F_ Peribunyaviridae | G_ Orthobunyavirus | S_ Orthobunyavirus simbuense",第二类,BSL-3,,,It was isolated from Culex tritaeniorhynchus mosquitoes while domestic pigs are the primary mammalian hosts for this virus. ,存在于猪、鸟中，可通过蚊子传播给人类，可进一步通过输血、移植、性接触、怀孕和分娩传播给大量人群,传播通常发生在热带和亚热带地区，疫情可能与媒介种群的繁殖周期有关,高,低,,是,危害程度分类第二类,"不知；there is no information on its prevalence, mortality, and morbidity as well as co-infection capacity with other similar viruses",,,如发热性疾病（如发烧、头痛、发冷、肌肉和关节痛）、脑膜炎和小儿脑炎（脑部炎症）,无季节规律,"
热带与亚热带；它只能在库蚊种群最多的农村地区引起零星感染",2004 年，在对越南北部儿童脑炎病原体进行监测时，首次从库蚊中分离出 Cat Que 病毒 (CQV)，随后在 2008-12 年也从乌干达分离出该病毒。这是对脑炎病例中的虫媒病毒进行监测的结果；在脑炎病例中，除了日本脑炎病毒 (JEV) 外，还发现了一种新出现的病毒，并且也被怀疑是脑炎病原体。这些新的病毒被鉴定为 Cat Que 病毒 (VN 04-2108)，这是在 Manzanilla 物种复合体中发现的一种新菌株。这个名字被建议作为获得受感染蚊子的越南社区的名称 [21],"	
GCF_000897575.1",https://www.ncbi.nlm.nih.gov/datasets/genome/?taxon=3052441,"

34.5 ~ 34.5",12.2 kb,"Twenty-two (22) officially recognized viruses included in Simbu serogroup and these viruses have been grouped into seven species complexes based on the complete coding sequence of M Segments (Akabane, Manzanilla, Oropouche, Sathuperi, Simbu, Shamonda, and Shuni [7]. The ICTV assign a rank to bunyaviruses into specific genera and species based upon serological cross-reactivity, size of the genome and its mechanism, protein and conserved sequences [8]. As many new bunyaviruses were discovered, these criteria change now. It is difficult to assign a rank to the newly discovered virus as the process of reassortment in bunyaviruses is responsible for the major phenotypic changes. So it is necessary to understand the genome sequences for their classification and relevance to humans and animals [8,9,10,11,12]. A whole-genome sequence of only 12 viruses in the Simbu serogroup has been available, while some other viruses are yet to be identified",,,,"The ICTV assign a rank to bunyaviruses into specific genera and species based upon serological cross-reactivity, size of the genome and its mechanism, protein and conserved sequences",无,,无,,,,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=3052441;https://nmdc.cn/gcpathogen/species?taxonid=3052441;https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwjw.fujian.gov.cn%2Fjggk%2Fcsxx%2Fkjjyc%2Fswaq_202112%2F202406%2FP020240624639399447309.docx&wdOrigin=BROWSELINK;https://link.springer.com/article/10.1007/s13337-021-00745-9,,,,
伊塞克病毒,Orthonairovirus issykkulense,1453408?,Issyk-Kul virus,病毒,,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; Orthonairovirus issykkulense,Ⅱ,BSL-3,,,植物、哺乳动物,蜱虫叮咬和接触蝙蝠粪便和尿液传播,,,,,是,,,,,伊塞克湖病毒已被描述会导致人类散发性发热暴发，伴有头痛、肌痛和恶心,,,伊塞克湖病毒于 1970 年首次从吉尔吉斯斯坦的夜蝠中分离出来，后来在塔吉克斯坦和哈萨克斯坦分离出来。,,,40.1 ~ 40.3,,,,,,,,,,,,,,,,,
伊泰图巴病毒,Phlebovirus itaitubaense,3052654,Itaituba phlebovirus，ITAV,病毒,ssRNA,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Phlebovirus; Phlebovirus itaitubaense,II,BSL-3,病毒颗粒（virion）通常是球形或多形态的，直径为80-120纳米，表面显示有5-10纳米的糖蛋白突起，这些突起嵌入一个大约5纳米厚的脂双层包膜中。病毒的包膜通常来源于细胞的高尔基体膜，偶尔也可能来源于细胞表面膜。病毒的核糖核蛋白（ribonucleocapsids）直径为2-2.5纳米，长度为200-3000纳米，通常（但不总是）显示出螺旋对称性。,\,啮齿动物,"1.直接接触：如皮肤接触、性接触等。
2. 媒介生物：如蚊子、苍蝇、跳蚤等。
3.血液或血制品：如艾滋病病毒、乙型肝炎病毒等。",\,\,低致病力,\,\,\,\,\,\,\,无季节规律,目前只在南美检测到两例,,GCA_013086305.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_013086305.1/,39.7 ~ 39.7,"	12.6 kb",,,,,"1.核酸检测
     2.血清学检查
                3.分离检测[1]",无,,无,,,,1. https://doi.org/10.3390/v13081500,,,,
乙型流感病毒,Betainfluenzavirus influenzae,2955465,,病毒,反义单链RNA,"Viruses,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,Orthomyxoviridae,Betainfluenzavirus,Betainfluenzavirus?",3,BSL-2,有包膜,https://baike.baidu.com/pic/乙型流感病毒/12667734/1/562c11dfa9ec8a131e90c535f103918fa1ecc059?fr=lemma&fromModule=lemma_content-image#aid=1&pic=562c11dfa9ec8a131e90c535f103918fa1ecc059,人类、猪、禽类,"直接接触：接触
间接接触：飞沫传播",各年龄段人群均易感，老人、儿童、身体虚弱者更容易发病，隐性感染者为主要传染源。,高传染性,高致病性,肺炎、腹泻、多脏器衰竭,是,中国法定丙类传染病,对于免疫力较强的人群，感染流感后病死率非常低，一般不会高于10%，对于慢性疾病多，免疫力极差的人群，感染流感后，若引起病毒性肺炎等并发症，死亡率可达100％。,肺,1-4天,在感染后患者会伴有发热、全身酸痛、腹痛和腹泻等症状。如果出现突然高热、继发严重并发症，甚至可能导致死亡。,季节交替,全球性分布,乙型流感呈暴发或小流行，不引起世界性流感大流行。,GCF_000820495.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000820495.2/,40,14.5kb,,,血球凝集素（Hemagglutinin）第1型、神经氨酸酶（Neuraminidase）第1型,,"核酸检测：聚合酶链式反应(PCR)；
抗原检测：酶联免疫吸附试验(ELISA)",有,流感疫苗,奥司他韦与扎那米韦,奥司他韦是神经氨酸酶抑制剂,血球凝集素（Hemagglutinin）第1型、神经氨酸酶（Neuraminidase）第1型,,,,,,
哈桑病毒,Khasan virus,24640166,克里米亚—刚果出血热病毒（新疆出血热病毒）,病毒,单链RNA病毒,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;unclassified Peribunyaviridae;Khasan virus,II,BSL-3,,,蜱虫,,,低传染性,高致病性,刚果出血热,,,,,,,,,,GCA_031578545.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_031578545.1/,45.5,6.5 kb,,,,,,,,,,,,,,,,
加尔巴病毒,加尔巴病毒,2734404,"Garba sunrhavirus, Garba virus",virus,ssRNA(-),Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Sunrhavirus;Sunrhavirus garba,II,BSL-3,,,蚊子、叮咬的蠓或鸟类,,,,,,,,,,,,,中非,,GCF_013088625.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_013088625.1/,38.5,"10,821",,,,,,,,,,,,,,,,
拉兹丹病毒,Bandavirus razdanense,3051994,,病毒,单链RNA病毒,K_?Viruses?| P_?Negarnaviricota?| C_?Ellioviricetes?| O_?Bunyavirales?| F_?Phenuiviridae?| G_?Bandavirus?| S_?Bandavirus razdanense,II,BSL-3,,,蜱,媒介传播,,,,,,,,,,,,,,GCF_000913675.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000913675.1/,45.5,"11,470",,,,,,,,,,,,,,,,
库里奥罗尚博病毒,Curiovirus rochambeau,1985691,罗尚博库里奥病毒,病毒,单链RNA病毒,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Curiovirus;Curiovirus rochambeau,II,BSL-3,,,无脊椎动物/昆虫/蚊子,,,,,,,,,,,,,,,GCF_002146005.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002146005.1/,42,13.6 kb,,,,,,,,,,,,,,,,
墨累谷脑炎病毒,Murray Valley encephalitis virus,11079,墨累山谷脑炎病毒、墨累河谷脑炎病毒、澳大利亚X病、澳大利亚脑炎、蚊媒脑炎、病毒性脑炎、黄病毒,病毒,单链RNA病毒,Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthoflavivirus; Orthoflavivirus murrayense,II,BSL-3,包膜的球状正链RNA病毒，具有二十面体核衣壳，直径约为40-70 nm,,人类、蚊子、苍鹭、鹈鹕、牛、马、有袋动物、猴子、羊、野猪、鼠类,间接接触：蚊虫叮咬,,无传染性,高致病性,Murray Valley脑炎,是,乙类,20.00%,中枢神经系统，包括脑、脑干和脊髓,5-28天,,2月至4月,澳大利亚和新几内亚,1974年澳大利亚爆发58例病例，其中13例死亡；2001-2006年每年报告2例临床病例,GCF_000863565.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000863565.1/,48.5,"11,014",,,,,核酸检测：聚合酶链式反应(PCR)，抗原检测：酶联免疫吸附试验(ELISA),无,,无特效药物,仅提供支持性治疗,,对1%次氯酸钠、2%戊二醛、4%甲醛、70%乙醇或丙醇、2%过乙酸、0.16%碘、3-6%过氧化氢敏感；热处理在50°C下10分钟可使病毒活性减少50%，在56°C下30分钟可完全灭活,,,,,
伊年加皮病毒,Arurhavirus inhangapi,2734371,,病毒,单链RNA病毒,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Arurhavirus;Arurhavirus inhangapi,II,BSL-3,,,白蛉,,,,,,,,,,,,,,,GCF_001431955.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001431955.1/,37.5 ~ 37.6,12 kb,,,,,,,,,,,,,,,,
