病原名称,拉丁名称,生物分类编号,同义词,病原体类型,病原体分类,世系信息,病原危害程度分类,生物安全等级,形态结构,图片,宿主分布,传播方式,易感性因素,人际传播力,致病力,相关疾病,人畜共患病,疾病等级,病死率,感染组织,疾病潜伏期,临床表型,流行季节,流行地域,历史爆发情况,参考基因组,参考基因组链接,GC含量（%）,基因组大小,分型,人类宿主受体,宿主结合蛋白,毒力因子,检测方法,疫苗有无,疫苗信息描述,药物有无,药物信息描述,抗原,灭活方法,,,,,
乙型脑炎病毒,Orthoflavivirus japonicum,3048158,日本脑炎,病毒,单链RNA病毒,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Orthoflavivirus;Orthoflavivirus japonicum,II,BSL-2,有包膜，直接40-50纳米,,人、鸟、猪、牛、马、蝙蝠、爬行动物，其具有一种动物源性循环，包括猪作为储存宿主，水鸟作为携带者，以及蚊子（库蚊属和伊蚊属）作为传播媒介。人类被视为日本脑炎病毒的“死胡同”宿主，因为他们通常表现出低病毒血症水平，不足以感染取食的蚊子。,被感染性蚊子叮咬,婴儿和老年人更有可能患上重症,无传染性,中致病性,病毒性脑炎,是的，通过蚊子叮咬感染动物；引起马脑炎、猪自然流产和死产,中国法定乙类传染病,每年约有100000例有症状的人类乙脑病例，导致约25000人死亡。只有0.1-4%的人类感染会导致症状，但有症状的病例死亡率为20-30%，30-50%的幸存者会出现长期的神经/精神后遗症,中央神经系统（尤其是大脑）,5-15天,大多数日本脑炎病毒感染都是轻微的，个人只有短暂的发烧和头痛，或者可能没有症状。然而，大约每250例感染中就有一例可能成为严重疾病，症状包括高烧、头痛、颈部僵硬、定向障碍、反射增强、痉挛性瘫痪、意识丧失、昏迷和死亡。,主要在温带夏季传播；热带地区全年无休，雨季达到高峰,主要在亚洲；农村和城市地区都有合适的蚊子媒介,高流行地区每2-15年复发一次疫情，疫情期间死亡率很高,GCF_000862145.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000862145.1/,51.5,11 kb,,热休克蛋白70（HSP 70），糖调节蛋白78（GRP 78），热休克共同蛋白70（HSC 70），和 CD4蛋白是可能的人感染受体蛋白，而树突状细胞特异性间质黏附分子3捕获非整合素（DC-SIGN）和肝素硫酸（Heparan Sulfate）被证明也起到了辅助的作用,E 蛋白,乙脑病毒可能利用多巴胺介导的神经元通讯来增加D2R表达细胞对乙脑病毒感染的易感性,血清学检测：中和试验、血凝抑制、酶联免疫吸附试验(ELISA)/抗原检测：免疫荧光检测病毒抗原,有,IC51疫苗（IXIARO）在6个月时的血清转化率为95%。它被描述为安全、耐受良好、有效，适合儿童、成人和老年人。,无,无,,易受消毒剂影响-70%乙醇、2%戊二醛、3-8%甲醛、1%次氯酸钠、碘、苯酚碘伏和有机溶剂/洗涤剂；物理失活：受热失活；在50℃下10分钟内减少50%，在56℃下30分钟内完全灭活；对紫外线和伽马射线照射敏感,,,,,
鸠宁病毒,Mammarenavirus juninense,2169991,阿根廷哺乳动物沙粒病毒，胡宁沙粒病毒,病毒,,Viruses;?Riboviria;?Orthornavirae;?Negarnaviricota;?Polyploviricotina;?Ellioviricetes;?Bunyavirales;?Arenaviridae;?Mammarenavirus,第一类,BSL-4,,,啮齿动物是天然宿主，主要是?Calomys musculinus（旱地维斯帕鼠）和?Calomys laucha（小型维斯帕鼠），但在?Akodon azarae（草鼠）、Bolomys obscurus（深色波洛鼠）、Mus musculus（家鼠）和?Oligoryzomys flavescens（黄猪米鼠）中也发现了 Junin 病毒抗原.人类是意外宿主，实验室饲养的小鼠、大鼠、豚鼠和非人灵长类动物是实验宿主,人类接触胡宁病毒被认为主要通过吸入受感染啮齿动物的雾化体液（血液、唾液）或排泄物（尿液、粪便）发生，通常是在农业工作期间).也可通过皮肤病变接触受感染的啮齿动物分泌物和/或排泄物进行传播,孕妇,,不适、眶后疼痛、恶心、呕吐、上腹痛、畏光、头晕、瘀点、便秘或轻度腹泻,阿根廷出血热,是的，受感染的啮齿动物通过它们的分泌物和排泄物将病毒传播给人类,,在有症状的患者中：死亡，20-30%,,>3年,不适、眶后疼痛、恶心、呕吐、上腹痛、畏光、头晕、瘀点、便秘或轻度腹泻,,阿根廷,澳大利亚?（3），?美国?（3），?阿根廷?（3）,GCF_000856545.1?,Mammarenavirus juninense genome assembly ViralMultiSegProj15028 - NCBI - NLM,41.3 ~ 42.0,10.5 kb,,,,,从血液和粘膜分泌物中分离病毒（并在细胞培养中繁殖）可以从疾病的前驱期开始进行;然而，RT-PCR 对早期遇到的低病毒血症具有更高的敏感性，从而可以更快地对感染做出反应 ）。其他技术，如 IgM 和 IgG ELISA、抗原检测 ELISA 和中和试验也经常用于检测胡宁病毒,有,胡宁病毒减毒活疫苗Candid#1,有,利巴韦林、三氟拉嗪和氯丙嗪敏感,,与所有脂质包膜病毒一样，胡宁病毒很容易被戊二醛、福尔马林、多聚甲醛等常见固定剂灭活;氯基消毒剂，如 1% 次氯酸钠;以及 70% 的酒精、过氧化氢、过氧乙酸、季铵化合物和碘伏化合物,,,,,
马秋波病毒,Mammarenavirus machupoense,3052317,Machupo virus,病毒,,Viruses;?Riboviria;?Orthornavirae;?Negarnaviricota;?Polyploviricotina;?Ellioviricetes;?Bunyavirales;?Arenaviridae;?Mammarenavirus,1,BSL-4,马丘波病毒于 1959 年首次分离，是沙粒病毒科的新世界沙粒病毒。它是球形和多形性的，直径为 50 – 300 nm（平均为 120 nm），并且具有单链和双段的?RNA?基因组。位于病毒内部的核糖体在电子显微镜下具有特有的沙状外观，并被包裹在致密的含脂质包膜中，具有 8 – 10 nm 长的棒状突起,,啮齿动物是自然界中主要和最常见的宿主(1).人类、蜱虫和蚊子也可能被感染,病毒的传播主要是通过受感染的啮齿动物排泄物或分泌物的尘埃颗粒的气溶胶传播。(1).还观察到院内传播,,虽然罕见，但病毒可能通过院内传播进行人际传播,,病毒性出血热 （VHF）、玻利维亚出血热 （BHF）、南美洲出血热、沙粒病毒、黑色斑疹伤寒、Ordog 热,是的 – 病毒最常通过栖息在受感染啮齿动物身上的蜱虫叮咬伤口传播给人类(1)蚊科(1)，或通过吸入受感染啮齿类动物的微乳晕溶胶,,0.18,血管,,病毒性出血的主要临床特征包括微血管损伤和血管通透性变化、发热、肌痛（肌肉疼痛）和虚脱(3).初始症状可能包括结膜充血、轻度高血压、潮红、牙龈出血和蛀牙、头痛、关节痛和瘀点出血。症状可进一步发展为休克和全身性粘膜出血、鼻出血、呕血、黑便、血尿，并伴有神经系统损伤，如震颤、癫痫发作和昏迷(4).1960 年代疫情暴发期间的病死率为 22%,,发病率集中在玻利维亚及周边地区。马丘波病毒的流行仅限于其特定啮齿动物宿主的位置，这些宿主常见于热带草原和温带森林地区、玻利维亚平原东部、巴拉圭北部和巴西西部(4).1962 年至 1964 年期间，玻利维亚报告了 1000 多例疫情，同时?Calomys（晚祷鼠）啮齿动物种群增加，死亡率为 18%。1971 年在玻利维亚的科恰班巴观察到了另一次完全基于医院传播的疫情(5).3 月至 6 月的收获季节发病率最高,玻利维亚?（18），?美国?（2），未知?（7）,GCF_000853725.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000853725.1/,41.3 ~ 44.3,10.6 kb,,,,,监测症状。对于有血管损伤证据的严重发热病例，应怀疑病毒性出血和 Machupo 感染。可通过血清学检查（即?ELISA）、PCR?和确定性病毒分离技术来确诊,Candid #1?,动物保护研究表明，用于胡宁病毒的减毒活疫苗 Candid #1 也可以有效对抗马丘波病毒(13).Candid #1 已在人类志愿者身上进行了测试，并已在美国通过了安全性和免疫原性测试。在两个流行季节，阿根廷的 6500 名农业工人接受了这种治疗，发现其疗效约为 84% 或更高，没有严重的副作用。,有,利巴韦林,,病毒可以通过在 56 °C 下加热、pH 值低于 5.5 或高于 8.5 以及紫外线和伽马射线照射来灭活,,,,,
肠道病毒70型,肠道病毒70型,12090,EV70;急性出血性结膜炎;AHC 病毒;阿波罗 11 号病;EO-70 系列,Viruses,,Viruses;?Riboviria;?Orthornavirae;?Pisuviricota;?Pisoniviricetes;?Picornavirales;?Picornaviridae;?Ensavirinae;?Enterovirus;?Enterovirus D,,,肠道病毒 70 是一种小的（直径 ~ 30 nm）、无包膜的病毒，具有单链正义 RNA 基因组 （~7.4 kb），包裹在二十面体衣壳内。它属于小核糖核酸病毒科肠道病毒属的人类肠道病毒 D 物种脚注1脚注3.它在 36°C 下以最佳方式复制,,人类,直接或间接接触（通过受感染的手和污染物将病毒引入眼睛）眼睛分泌物,,,高,急性出血性结膜炎；永久性脊髓灰质炎样麻痹,None,,,,24 至 48 小时,?肠道病毒 70 型引起急性出血性结膜炎.该病的症状包括眼痛、畏光、眼睑肿胀和结膜不同程度的发红（从结膜下瘀点到出血）.疾病可在 10 天内消退。在某些情况下，可能会出现短暂的角膜受累脚注3.急性出血性结膜炎也可引起非眼科症状，例如神经功能障碍、呼吸和胃肠道紊乱.此外，据报道，肠道病毒感染者会出现永久性脊髓灰质炎样麻痹?,,1969 年在非洲发生了急性出血性结膜炎的第一次大流行，影响了数亿人.从那时起，该病毒一直与主要在热带地区爆发的大规模疫情有关,,GCA_031102585.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_031102585.1/,42.5,7.4 kb,,,,,诊断基于使用 RT-PCR、实时 RT-PCR 和基于核酸序列的扩增 （NASBA） 等分子生物学方法在临床标本中检测 EV 70 病毒。从急性出血性结膜炎患者中分离 EV70 病毒非常困难,无,无,有,Pleconaril,,肠道病毒可以通过极热 （>56°C）、紫外线和干燥来灭活,,,,,
柯萨奇病毒A24型变种,Coxsackievirus A24,12089,柯萨奇病毒 A 组（ 24）,病毒,,Viruses;?Riboviria;?Orthornavirae;?Pisuviricota;?Pisoniviricetes;?Picornavirales;?Picornaviridae;?Ensavirinae;?Enterovirus;?Enterovirus C;?Coxsackievirus A24,3,BSL-2,,,?人、猴、老鼠,感染通过接触感染性分泌物或排泄物，以及随后的口、鼻或眼自体接种而发生.摄入受污染的水可能会导致感染.某些变体可能通过受污染的呼吸道分泌物进行鼻内和气溶胶传播.一旦进入体内，柯萨奇病毒就会在淋巴组织中复制，然后在血液中传播,幼儿更容易受到感染。例如，婴儿病毒性脑膜炎的发病率是成人的 5-8 倍,?人与人之间的传播可以很容易地通过口腔、眼部、呼吸或粪口途径发生,高,?急性出血性结膜炎（A24）,没有,无,无,结膜,无,,柯萨奇病毒分布于世界各地，感染在夏季和秋季占主导地位，全年都有零星病例,无,无,GCA_031102575.1；GCA_003108505.1；GCA_008797795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/?taxon=12089,45,7.5 KB,,,,,监测症状;通过血清学检查、病毒分离或从病变或鼻咽和粪便标本中进行 PCR 来确认,无,无,无,无,,对 UV 介导的失活敏感.干燥条件会降低病毒滴度，病毒滴度的程度取决于表面的孔隙率和外来有机物的存在.大多数在 42 °C 下很容易灭活，但在硫固化还原剂和镁阳离子存在下稳定性和耐热性会提高,,,,,
柯萨奇病毒A16型 (Cox A16),Coxsackievirus A16,,Coxsackievirus Group A (16),病毒,,Viruses;?Riboviria;?Orthornavirae;?Pisuviricota;?Pisoniviricetes;?Picornavirales;?Picornaviridae;?Ensavirinae;?Enterovirus;?Enterovirus A,3,BSL-2,,,?人、猴、老鼠,感染通过接触感染性分泌物或排泄物，以及随后的口、鼻或眼自体接种而发生.摄入受污染的水可能会导致感染.某些变体可能通过受污染的呼吸道分泌物进行鼻内和气溶胶传播.一旦进入体内，柯萨奇病毒就会在淋巴组织中复制，然后在血液中传播,幼儿更容易受到感染。例如，婴儿病毒性脑膜炎的发病率是成人的 5-8 倍,?人与人之间的传播可以很容易地通过口腔、眼部、呼吸或粪口途径发生,高,手足口病（A10， A16）,没有,无,无,口腔和四肢,无,以口腔和四肢发热和水疱为特征，喉咙痛，发热和厌食.,柯萨奇病毒分布于世界各地，感染在夏季和秋季占主导地位，全年都有零星病例,无,无,GCA_031106005.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_031106005.1/,47,7.4 kb,,,,,监测症状;通过血清学检查、病毒分离或从病变或鼻咽和粪便标本中进行 PCR 来确认,无,无,无,无,,对 UV 介导的失活敏感.干燥条件会降低病毒滴度，病毒滴度的程度取决于表面的孔隙率和外来有机物的存在.大多数在 42 °C 下很容易灭活，但在硫固化还原剂和镁阳离子存在下稳定性和耐热性会提高,,,,,
肠道病毒71型 (EV 71),肠道病毒71型 (EV 71),39054?,,病毒,,Viruses;?Riboviria;?Orthornavirae;?Pisuviricota;?Pisoniviricetes;?Picornavirales;?Picornaviridae;?Ensavirinae;?Enterovirus;?Enterovirus A,,,,,,,,,,EV-A71 感染可能导致并发症脑炎，无菌性脑膜炎，急性弛缓性麻痹，肺水肿，出血，心肌炎,,,,,,,,,,GCA_008766895.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_008766895.1/,47.5,7.4 kb,,,,,,,,,,,,,,,,
鼠疫耶尔森菌,Yersinia pestis,632,"鼠疫杆菌, Bacterium pestis, Bacillus pestis, Pasteurella pestis, Pestisella pestis, Yersinia pseudotuberculosis subsp. pestis",细菌,革兰氏阴性菌,    cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex,II,BSL-3,细菌形态为卵圆形短粗杆菌，菌体两段浓染，有荚膜、无芽孢、无鞭毛。,https://www.ncbi.nlm.nih.gov/Taxonomy/taxi/images/4605,兼性厌氧,28~30℃,6.9~7.1,人、家畜（如狗、猫等）、野生啮齿动物（如老鼠、沙鼠等）为储存宿主，鼠蚤为主要传播媒介,"媒介生物：跳蚤叮咬；
直接接触：捕猎、宰杀、剥皮及食肉等方式直接接触染疫动物；破损皮肤接触含菌的痰、脓或动物的皮、血、肉及疫蚤粪便等；
间接接触：肺鼠疫细菌微粒及气溶胶，经呼吸道飞沫传播。","人群普遍易感, 预防接种可使易感性降低。可有隐性感染, 并成为无症状的带菌者。患过鼠疫病愈者可获得持久性免疫力，很少再次感染。",高传染性,高致病性,肺鼠疫、败血性鼠疫、腺鼠疫,是,中国法定甲类传染病,肺鼠疫和败血性鼠疫（两者死亡率均几乎为100%）、腺鼠疫（死亡率约为50-60%）,肺（UBERON: 0002048）、血液（UBERON: 0000178）、淋巴结（UBERON: 0000029）,2~6天,鼠蚤叮咬处的局部淋巴结(以腹股沟、腋下、颈部等多见)肿大为腺鼠疫的主要特点。肺鼠疫根据感染途径不同可分为原发性和继发性2类。原发性肺鼠疫经呼吸道感染，初期干咳，逐渐加重成痰中带血或咯血;继发性肺鼠疫由腺鼠疫或败血症型鼠疫感染传播至肺部所致，常表现为病势突然加剧，患者临终前全身皮肤由紫变黑，故亦称黑死病。败血症型鼠疫继发于腺鼠疫、肺鼠疫，细菌经由血液感染全身引起败血症，死亡率高。鼠疫病后能获得牢固的免疫力，再感染罕见。,夏季和秋季,广泛分布于世界各地，尤其是亚洲、非洲和欧洲的农村和牧区，城市地区偶有发生。在我国多地分布，包括高原/草原牧区、山地林区等。,鼠疫耶尔森菌在历史上引发了三次严重的大流行疾病。第一次是在6世纪，被称为查士丁尼瘟疫，迅速蔓延至整个地中海地区。第二次更为严重，发生在14世纪，造成欧洲近三分之一人口死亡，被称为黑死病。第三次大流行则始于19世纪，主要影响了亚洲、非洲和美洲的国家，其中中国、印度和越南的受影响尤为严重。,GCF_000222975.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000222975.1/,40.2~48.3,4.6~5.2Mb,AF366383,神经酰胺酶,"Ail（attachment invasion locus）[2,3]","ATP-binding cassette (ABC) antibiotic efflux pump,Major facilitator superfamily (MFS) antibiotic efflux pump,MarR,Determinant of antibiotic resistance,Beta-lactamase,Class B (metallo-) beta-lactamase,AcrD,AcrB,AcrF,EmrB","Flagella,O-antigen,T6ss-a,Direct heme uptake system,Ttss (chromosomally encoded),Hasa-type hemophore-mediated heme uptake system,Myf/ph6 antigen,Pla,Shla-shlb,Rcsab","pCD1: 68~75kb, 编码叶尔森菌III型分泌系统的组分[4-6]；
pMT1: 50~120kb, 编码鼠毒素（Ymt）和F1抗原（F1）[4,7]。这两种蛋白质利于细菌利用跳蚤作为传播媒介并引起疾病[7-8];
pCP1: 10kb, 编码纤溶酶原激活剂，是一种表面蛋白酶，可激活哺乳动物纤溶酶原并降解补体，对于细菌在黑死病模型中的传播非常重要[4,7,9]。
","抗原检测：血常规检查；
分离检测：取血、脓、痰、脑脊液、淋巴结穿刺液等材料，进行分离鉴定；
血清学检测：免疫荧光分析（IFA）、间接血凝试验（IHA）、放射免疫沉淀试验（RIP）、葡萄球菌A蛋白的血凝改进方法（SPA-IHA）；
核酸检测：聚合酶链式反应(PCR)",有,"高危人群可使用EV无毒株活菌苗进行免疫接种；
mRNA疫苗：SP-cp-caf1 mRNA-LNP[10]",有,"链酶素、四环素、氯霉素、环丙沙星、左氧氟沙星、庆大霉素（链霉素的可接受替代品）。
用于治疗的抗菌药物极少有耐药菌株报道。",鼠疫耶尔森的抗原结构复杂，至少有18种抗原，其中比较重要的有F1、V/W、外膜蛋白、鼠毒素等。F1（fraction 1）抗原是鼠疫菌的荚膜抗原，由质粒pMT1编码，具有抗吞噬的作用，是该菌重要的毒力成分。V抗原存在于细胞质中，为可溶性蛋白；W抗原位于菌体表面，是一种脂蛋白。V/W抗原由质粒pCD1编码，具有抗吞噬、形成局部肉芽肿以及促细菌在细胞内存活等作用。,"[1] 32835180
[2] 20498264
[3] 24386237
[4] 16988099
[5] 10930402
[6] 18299249
[7] 19606935
[8] 11976454
[9] 27377187
[10] 36888708"
苍白（梅毒）螺旋体,Treponema pallidum,160,Microspironema pallidum；Spirochaeta pallida；Spironema pallidum；Spirillum pallidum,细菌,革兰氏阴性菌,"
K_ Bacteria | P_ Spirochaetes | C_ Spirochaetia | O_ Spirochaetales | F_ Treponemataceae | G_ Treponema | S_ Treponema pallidum",3,BSL-2,一种螺旋盘绕的微生物，通常长6-15微米，宽0.1-0.2微米。有细胞质和外膜。使用暗视野显微镜观测。,https://www.zgbk.com/ecph/words?SiteID=1&ID=245160&Type=bkzyb&SubID=154009,厌氧菌,,,人,95%以上是通过危险的或无保护的性行为传染，少数通过亲吻、输血、污染的衣物等传染,,高传染性,低致病性,"一期梅毒：硬下疳(Hard Chancre，Ulcus Durum）；二期梅毒在发疹前可有流感样综合征（头痛，低热，四肢酸困）
二期梅毒的皮肤损害可分为斑疹、丘疹及脓疱疹，后者已少见。三期梅毒皮肤粘膜损害占晚期良性梅毒发生率的28.4%，多数在感染后3-10年内发生。临床上可分结节性梅毒疹、树胶肿、近关节结节。三期梅毒会造成主动脉疾病和神经梅毒脚注。神经梅毒可以表现为急性梅毒性脑膜炎、脑膜血管性梅毒或麻痹或tabes doraslis",否,中国法定乙类类传染病,低,"皮肤、骨骼、心脏、眼睛、神经
",通常在21天左右，10天到90天不等,"一期梅毒：硬下疳(Hard Chancre，Ulcus Durum）；二期梅毒在发疹前可有流感样综合征（头痛，低热，四肢酸困）
二期梅毒的皮肤损害可分为斑疹、丘疹及脓疱疹，后者已少见。三期梅毒皮肤粘膜损害占晚期良性梅毒发生率的28.4%，多数在感染后3-10年内发生。临床上可分结节性梅毒疹、树胶肿、近关节结节。三期梅毒会造成主动脉疾病和神经梅毒脚注。神经梅毒可以表现为急性梅毒性脑膜炎、脑膜血管性梅毒或麻痹或tabes doraslis",无,梅毒在全世界流行，据WHO估计，全球每年约有1200万新发病例，主要集中在南亚、东南亚和次撒哈拉非洲,no,GCF_000246755.1?,https://www.ncbi.nlm.nih.gov/assembly/GCF_000246755.1,52.2 ~ 53.0,1.14Mb,no,LamR,no,tetB,"12 proteins related to the Msp protein of Treponema denticola, a number of putative hemolysins, as well as several other classes of proteins of interest",,"一、检查螺旋体
采取初期及二期梅毒硬性下疳、梅毒疹的渗出物等，用暗视野或墨汁显影，如查见有运动活泼的密螺旋体即可诊断。
二、血清学检查
1、非螺旋体抗原试验：是用正常牛心肌的心类脂（Cardiolipin）作为抗原，检测病人血清中的反应素。
2、螺旋体抗原试验：抗原为梅毒旋体，以检测血清中的特异性抗体，该试验特异性高，目前常用下述两种方法。⑴荧光密螺旋体抗体吸收试验（FTA-ABS） ⑵梅毒螺旋体制运试验（TPI）",无,no,有,青霉素、β-内酰胺抗生素或大环内酯,,[1] 32238570 [2] 9862125
鼻疽伯克霍尔德菌,Burkholderia mallei,13373,类鼻疽芽孢杆菌、类鼻疽放线杆菌 、类鼻疽费氏菌、类鼻疽真菌、类鼻疽罗氏菌、类鼻疽不动杆菌、类鼻疽假单胞菌、类鼻疽棒状杆菌 、类鼻疽分枝杆菌,细菌,革兰氏阴性,"Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia",II,BSL-3,长约1.5-3.0μm，直径约0.5-1.0μm，末端呈圆形的球菌,,需氧细菌,37°C,,只存在于哺乳动物中,间接接触,与受感染的马、驴、骡直接接触，尤其是处理这些动物的体液、分泌物或组织时，风险增加。,低传染性,高致病性,囊性鼻疽,是,,对未经治疗的败血症感染的病死率为95%，对接受抗生素治疗的个体的病死率则为50%,皮肤、肺部或肌肉、肝脏和脾脏,,可导致多种疾病表现，分为隐匿性感染、局部脓肿、肺炎和播散性疾病。类鼻疽是流行区社区获得性感染的重要病因，表现为高热、寒战、咳嗽、胸痛、呼吸急促等，病情迁延也可导致慢性肺炎。皮肤化脓性感染表现为皮肤破损处结节形成，引流区淋巴结肿大和淋巴结炎，常伴发热和全身不适。类鼻疽严重者可形成播散性疾病，发展为全身脓毒症，常迅速出现多器官累及所引起的表现。,,主要见于热带地区，流行于东南亚和澳洲北部地区。,,GCF_002346025.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002346025.1/,68.5,3.5 Mb,NR_041725.1,,,"Subclass B1(metallo-) beta-lactamaseMultidrug and toxic compound extrusion (MATE) transporter,MexH,MdtMM,Major facilitator superfamily (MFS) antibiotic efflux pump,Determinant of antibiotic resistance,Class A beta-lactamase,Catl,Burkholderia dolosa gyrA conferring resistance to fluoroquinolonesATP-binding cassette (ABC) antibiotic efflux pump,AmrB,ACrF,ACrB","BimA（Burkholderia 细胞内运动蛋白 A）
BoaA（Burkholderia 寡聚螺旋卷曲粘附蛋白 A）
BoaB（Burkholderia 寡聚螺旋卷曲粘附蛋白 B）
Bsa T3SS（Burkholderia 类三分泌系统）
Quorum-sensing（群体感应）
T6SS-1（第六型分泌系统-1）",,根据流行病学资料，有疫区接触史的患者出现不明原因的发热或化脓性疾病时应考虑该病。渗出物、脓液等做涂片镜检、微生物学培养和血清学检查是主要的诊断方法。,无,无,有,类鼻疽伯克霍尔德菌对部分青霉素类和头孢菌素类药物敏感。治疗分为两个阶段。①使用头孢他啶或碳青烯类抗生素，进行两周抗生素强化治疗。②至少12周口服甲氧苄啶-磺胺异甲噁唑(TMP-SMX)以清除病原体，预防复发。,,
伯氏考克斯氏体,Coxiella burnetii,777,贝氏立克次体,细菌,革兰氏阴性细菌,cellular organisms;?Bacteria;?Pseudomonadota;?Gammaproteobacteria;?Legionellales;?Coxiellaceae;?Coxiella,II,BSL-3,革兰氏染色多为阴性，呈高度多形性，球状或短杆状，大小为(0.2~0.4)微米x(0.4~1.0)微米,,专性好氧菌,32°C 到 37°C,4.5 到 5.5,人类和许多不同的野生和家畜，包括牛、绵羊、山羊、猫和狗,"1. 直接接触：通过直接接触受污染的物质感染。
2. 间接接触：吸入受到污染的气溶胶。",,低传染性,中致病性,Q热,是,,,,如果通过呼吸途径获得，则为13-28天。意外接种病原体的人可能在24-48小时内出现症状,急性Q热：急性Q热的临床表现差异很大。急性Q热最常见的表现是自限性流感样疾病、非典型肺炎和肝炎。最常见的表现之一是急性、自限性发热性疾病，其特征是严重头痛（51%）、咳嗽（34%）、肌痛（37%）、关节痛（27%）、心包炎（1%）、发冷、虚弱、不适、严重出汗，很少出现皮疹。肺炎：吸入气溶胶引起的肺炎是加拿大、瑞士、英国和西班牙感染的主要表现；肝炎：肝炎是法国、澳大利亚和西班牙南部急性Q热的常见表现。急性Q热的其他罕见表现包括脑膜炎等神经系统症状、心肌炎等心脏症状、急性非结石性胆囊炎和孤立性淋巴结炎。慢性Q热：在免疫功能低下的个体中，由于免疫反应无法控制感染，可能会出现慢性感染（持续时间超过6个月）,,除了南极与新西兰，考克斯氏体广泛分布于世界各地。,"Q热首次于1935年在澳大利亚布里斯班的屠宰场工人中爆发，目前在许多国家，包括法国、英国、荷兰、意大利、西班牙、德国、以色列、希腊和加拿大，仍然是一个公共卫生问题，并在全球范围内流行。除新西兰外，几乎所有国家都曾报告过Q热的爆发。1999年至2004年间，12个国家报告了18次疫情，涉及2至289人。迄今为止，最大的疫情发生在荷兰，2007年至2009年间报告了3523例。大多数疫情涉及接触受感染的宠物、野生或家畜，尤其是产仔的猫。屠宰场、牲畜市场、肉类加工厂和医学实验室中也常见疫情，屠宰工人、农民、兽医、皮革处理工和屠夫是高风险人群。






",GCF_000007765.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000007765.2/,42.5,2 Mb,NR_104916.1,,,"ATP-binding cassette (ABC) antibiotic efflux pump,Major facilitator superfamily (MFS) antibiotic efflux pump,Resistance-nodulation-cell division (RND) antibiotic efflux pump,Determinant of antibiotic resistance,Beta-lactamase,Class B (metallo-) beta-lactamase,EmrB,Class A beta-lactamase,MexI,AcrB","Dot/icm t4ss,T4ss secreted effectors",,Q热的诊断可以通过以下几种方法进行：首先，观察临床症状；其次，对于Q热心内膜炎，可以通过免疫荧光、电子显微镜或免疫组织化学直接检测心瓣膜组织中的抗原；第三，利用血清学检测，如微量凝集试验、酶联免疫吸附试验（ELISA）、补体结合试验（CF）或间接免疫荧光抗体（IFA）试验，检测针对C. burnetii 抗原的高滴度抗体；第四，使用针对IS1111的PCR诊断方法；最后，可以通过壳小瓶离心技术在HEL细胞中分离细菌。接种后的HEL细胞单层在37°C和5% CO2的条件下培养5-7天，随后可以通过Gimenez染色或使用多克隆/单克隆抗C. burnetii抗体的间接免疫荧光显微镜识别细菌。,有,Q-Vax,有,治疗可使用四环素与氯霉素等抗生素,,
